Country;kwh/yearprm2;total energy production (kwh) year;Solar production terawatt hours year ;Country Area(Km2)
Afghanistan;1832.06;;;652230
Albania;1476.56;;;28748
Algeria;1795.82;;0.66;2381741
Andorra;1533.68;;;468
Angola;1701.55;;;1246700
Antigua and Barbuda;1742.1;;;443
Argentina;1679.86;932000000000000000;2.2;2780400
Armenia;1499.83;;;29743
Aruba (Neth.);1813.32;;;180
Australia;1719.27;1510000000000000000;31.19;7741220
Austria;1189.66;387000000000000000;2.78;83871
Azerbaijan;1394.41;;0.06;86600
Bahrain;1778.26;;;765
Bangladesh;1417.39;;0.59;148460
Barbados;1722.19;;;430
Belarus;1076.94;;0.17;207600
Belgium;1065.22;646000000000000000;5.62;30528
Belize;1525.58;;;22966
Benin;1533.25;;;112622
Bhutan;1430.25;;;38394
Bolivia;1805.1;;;1098581
Bosnia and Herzegovina;1303.83;;;51197
Botswana;1865.3;;;581730
Brazil;1608.63;3480000000000000000;16.75;8515770
Brunei;1424.8;;;5765
Bulgaria;1352.45;;1.47;110879
Burkina Faso;1669.23;;;274200
Burundi;1523.93;;;27830
Cabo Verde;1710.21;;;4033
Cambodia;1506.66;;;181035
Cameroon;1562.21;;;475440
Canada;1393.61;3380000000000000000;5.17;9984670
Central African Republic;1631.43;;;622984
Chad;1766.86;;;1284000
Chile;1959.46;460000000000000000;10.75;756096
China;1418.08;43500000000000000000;327;9596960
Colombia;1478.97;493000000000000000;0.32;1138910
Comoros;1565.32;;;2235
Congo;1375.86;;;342000
Costa Rica;1494.97;58600000000000000;;51100
Croatia;1326.08;;0.15;56594
Cuba;1658.56;;;110860
Cyprus;1716.05;;0.47;9251
Czech Republic;1113.32;496000000000000000;2.15;78867
Democratic Republic of Congo;1554.36;;;2344858
Denmark;1038.55;188000000000000000;1.31;43094
Djibouti;1752.18;;;23200
Dominica;1450.12;;;751
Dominican Republic;1669.12;;;48670
Ecuador;1242.4;;0.04;283561
Egypt;1916.36;1130000000000000000;5.08;1001450
El Salvador;1763.13;;;21041
Equatorial Guinea;1339.41;;;28051
Eritrea;1787.83;;;117600
Estonia;1036.18;53100000000000000;0.35;45228
Eswatini;1577.37;;;17364
Ethiopia;1714.99;;;1104300
Federated States of Micronesia;1420.09;;;702
Fiji;1393.47;;;18274
Finland;0;386000000000000000;0.3;338145
France;1236.77;2740000000000000000;15.26;643801
Gabon;1315.78;;;267667
Georgia;1354.49;;;69700
Germany;1081.43;3350000000000000000;49.34;357022
Ghana;1468.41;;;238533
Greece;1513.23;236000000000000000;5.25;131957
Grenada;1626.06;;;349
Guatemala;1601.8;;;108889
Guinea;1620.76;;;245857
Guinea-Bissau;1628.14;;;36125
Guyana;1532.55;;;214969
Haiti;1708.13;;;27750
Honduras;1557.02;;;112090
Hungary;1256.53;319000000000000000;3.8;93028
Iceland;0;68300000000000000;;103000
India;1578.61;11000000000000000000;68.31;3287263
Indonesia;1376.04;2740000000000000000;0.19;1904569
Iraq;1708.75;;0.38;438317
Ireland;917.73;160000000000000000;0.09;70273
Iran;1795.53;;0.62;1648195
Israel;1854.12;265000000000000000;5.35;20770
Italy;1458.55;1740000000000000000;25.04;301340
Ivory Coast;1460.96;;;322463
Jamaica;1601.91;;;10991
Japan;1258.51;4650000000000000000;92.4;377944
Jordan;1941.3;;;89342
Kazakhstan;1345.95;;1.63;2724900
Kenya;1645.16;332000000000000000;;580367
Kiribati;1761.64;;;811
Kosovo;1349.93;;;10887
Kuwait;1758.86;;0.21;17818
Kyrgyzstan;1502.97;;;199951
Laos;1413.85;;;236800
Latvia;1042.09;51900000000000000;0.01;64589
Lebanon;1764.71;;;10400
Lesotho;1875.52;;;30355
Liberia;1418.38;;;111369
Libya;1871.65;;;1759540
Liechtenstein;1185.38;;;160
Lithuania;1048.41;90000000000000000;0.19;65300
Luxembourg;1076.68;41900000000000000;0.18;2586
Madagascar;1737.82;;;587041
Malawi;1680.37;;;118484
Malaysia;1366;;2.52;329847
Maldives;1622.37;;;298
Mali;1708.02;;;1240192
Malta;1666.2;;;316
Marshall Islands;1548;;;181
Mauritania;1734.61;;;1030700
Mauritius;1539.46;;;2040
Mexico;1798.53;2080000000000000000;20.19;1964375
Moldova;1259.86;;;33851
Mongolia;1737.6;;;1564116
Montenegro;1394.31;;;13812
Morocco;1828.62;265000000000000000;1.82;446550
Mozambique;1619.88;;;799380
Myanmar;1512.65;;;676578
Namibia;1964.72;;;824292
Nauru;1698.78;;;21
Nepal;1459.54;;;147181
Netherlands;1046.33;828000000000000000;11.5;41543
New Zealand;1343.17;230000000000000000;0.21;268838
Nicaragua;1500.63;;;130370
Niger;1766.71;;;1267000
Nigeria;1569.73;;;923768
North Korea;1430.25;;;120538
North Macedonia;1417.68;;0.03;25713
Norway;1008.53;334000000000000000;0.17;323802
Oman;1887.72;;0.84;309500
Pakistan;1721.28;;0.72;796095
Palau;1462.83;;;459
Panama;1448.4;;;75420
Papua New Guinea;1348.47;;;462840
Paraguay;1563.78;;;406752
Peru;1790.09;;0.88;1285216
Philippines;1436.31;;1.51;300000
Poland;1090.05;1260000000000000000;3.93;312685
Portugal;1576.24;234000000000000000;2.24;92212
Qatar;1796.08;;0.01;11586
Korea;1393.9;3390000000000000000;;99720
Yemen;1904.3;;;527968
Romania;1286.99;;1.7;238391
Russia;1225.49;;2.31;17098240
Rwanda;1498.29;;;26338
Saint Kitts and Nevis;1696.81;;;261
Saint Lucia;1651.84;;;616
Saint Vincent and the Grenadines;1560.64;;;389
Samoa;1480.32;;;2831
San Marino;1373.16;;;61
S�o Tom� and Pr�ncipe;1266.72;;;964
Saudi Arabia;1884.25;;0.83;2149690
Senegal;1674.12;58900000000000000;;196722
Serbia;1285.79;;;77474
Seychelles;1587.96;;;455
Sierra Leone;1492.48;;;71740
Singapore;1297.11;410000000000000000;0.4;716
Slovakia;1192.72;209000000000000000;0.67;49035
Slovenia;1254.45;76900000000000000;0.45;20273
Solomon Islands;1347.55;;;28896
Somalia;1739.21;;;637657
South Africa;1827.56;1440000000000000000;6.79;1219090
South Sudan;1627.88;;;644329
Spain;1611.74;1340000000000000000;27.1;505370
Sri Lanka;1538.36;;0.89;65610
Sudan;1805.5;;;1861484
Suriname;1559.25;;;163820
Sweden;1036.32;555000000000000000;1.51;450295
Switzerland;1228.66;265000000000000000;2.84;41277
Syria;1773;;;185180
Tajikistan;1585.4;;;144100
Tanzania;1646.07;;;947300
Thailand;1484.6;1510000000000000000;4.99;513120
The Bahamas;1661.19;;;13880
Gambia;1668.83;;;11300
Timor-Leste;1584.86;;;14874
Togo;1506.4;;;56785
Tonga;1463.85;;;747
Trinidad and Tobago;1588.47;;0.01;5128
Tunisia;1732.93;;;163610
Turkey;1579.05;1850000000000000000;13.94;783562
Turkmenistan;1595.34;;0.01;488100
Tuvalu;1558.45;;;26
Uganda;1629.6;;;241038
Ukraine;1203.94;1030000000000000000;6.33;603550
United Arab Emirates;1827.82;;6.25;83600
United Kingdom;954.29;1850000000000000000;12.14;243610
United States of America;1591.91;24900000000000000000;166.08;9833517
Uruguay;1572.15;;;176215
Uzbekistan;1559.18;;0.05;447400
Vanuatu;1289.52;;;12189
Venezuela;1590.48;;0;912050
Vietnam;1298.24;;25.78;331210
Zambia;1763.46;;;752618
Zimbabwe;1775.52;;;390757
Taiwan;;;;36197
