land;kwh/day;kwh/year
Aruba (Neth.);4,96;1813,32
Afghanistan;5,02;1832,06
Angola;4,66;1701,55
Albania;4,04;1476,56
Andorra;4,20;1533,68
United Arab Emirates;5,00;1827,82
Argentina;4,60;1679,86
Armenia;4,11;1499,83
American Samoa (U.S.);3,98;1454,64
Antigua and Barbuda;4,77;1742,10
Australia;4,71;1719,27
Austria;3,26;1189,66
Azerbaijan;3,82;1394,41
Burundi;4,17;1523,93
Belgium;2,92;1065,22
Benin;4,20;1533,25
Burkina Faso;4,57;1669,23
Bangladesh;3,88;1417,39
Bulgaria;3,70;1352,45
Bahrain;4,87;1778,26
The Bahamas;4,55;1661,19
Bosnia and Herzegovina;3,57;1303,83
Belarus;2,95;1076,94
Belize;4,18;1525,58
Bermuda (U.K.);4,18;1528,13
Bolivia;4,94;1805,10
Brazil;4,40;1608,63
Barbados;4,72;1722,19
Brunei Darussalam;3,90;1424,80
Bhutan;3,92;1430,25
Botswana;5,11;1865,30
Central African Republic;4,47;1631,43
Canada;3,82;1393,61
Switzerland;3,36;1228,66
Chile;5,36;1959,46
China;3,88;1418,08
Côte d'Ivoire;4,00;1460,96
Cameroon;4,28;1562,21
Democratic Republic of Congo;4,26;1554,36
Congo;3,77;1375,86
Colombia;4,05;1478,97
Comoros;4,29;1565,32
Cabo Verde;4,68;1710,21
Costa Rica;4,09;1494,97
Cuba;4,54;1658,56
Curaçao (Neth.);4,83;1765,33
Cayman Islands (U.K.);4,63;1690,12
Cyprus;4,70;1716,05
Czech Republic;3,05;1113,32
Germany;2,96;1081,43
Djibouti;4,80;1752,18
Dominica;3,97;1450,12
Denmark;2,84;1038,55
Dominican Republic;4,57;1669,12
Algeria;4,92;1795,82
Ecuador;3,40;1242,40
Arab Republic of Egypt;5,25;1916,36
Eritrea;4,89;1787,83
Spain;4,41;1611,74
Estonia;2,84;1036,18
Ethiopia;4,70;1714,99
Fiji;3,82;1393,47
France;3,39;1236,77
Federated States of Micronesia;3,89;1420,09
Gabon;3,60;1315,78
United Kingdom;2,61;954,29
Georgia;3,71;1354,49
Ghana;4,02;1468,41
Guinea;4,44;1620,76
The Gambia;4,57;1668,83
Guinea-Bissau;4,46;1628,14
Equatorial Guinea;3,67;1339,41
Greece;4,14;1513,23
Grenada;4,45;1626,06
Guatemala;4,39;1601,80
Guam (U.S.);4,53;1655,31
Guyana;4,20;1532,55
Hong Kong, SAR;3,27;1195,02
Honduras;4,26;1557,02
Croatia;3,63;1326,08
Haiti;4,68;1708,13
Hungary;3,44;1256,53
Indonesia;3,77;1376,04
Isle of Man (U.K.);2,76;1009,44
India;4,32;1578,61
Ireland;2,51;917,73
Islamic Republic of Iran;4,92;1795,53
Iraq;4,68;1708,75
Israel;5,08;1854,12
Italy;3,99;1458,55
Jamaica;4,39;1601,91
Jordan;5,32;1941,30
Japan;3,45;1258,51
Kazakhstan;3,69;1345,95
Kenya;4,50;1645,16
Kyrgyz Republic;4,11;1502,97
Cambodia;4,13;1506,66
Kiribati;4,82;1761,64
Saint Kitts and Nevis;4,65;1696,81
Republic of Korea;3,82;1393,90
Kuwait;4,82;1758,86
Lao People's Democratic Republic;3,87;1413,85
Lebanon;4,83;1764,71
Liberia;3,88;1418,38
Libya;5,12;1871,65
Saint Lucia;4,52;1651,84
Liechtenstein;3,25;1185,38
Sri Lanka;4,21;1538,36
Lesotho;5,13;1875,52
Lithuania;2,87;1048,41
Luxembourg;2,95;1076,68
Latvia;2,85;1042,09
Macau, SAR;3,40;1243,35
Morocco;5,01;1828,62
Moldova;3,45;1259,86
Madagascar;4,76;1737,82
Maldives;4,44;1622,37
Mexico;4,92;1798,53
Marshall Islands;4,24;1548,00
North Macedonia;3,88;1417,68
Mali;4,68;1708,02
Malta;4,56;1666,20
Myanmar;4,14;1512,65
Montenegro;3,82;1394,31
Mongolia;4,76;1737,60
Northern Mariana Islands (U.S.);4,65;1700,09
Mozambique;4,44;1619,88
Mauritania;4,75;1734,61
Mauritius;4,21;1539,46
Malawi;4,60;1680,37
Malaysia;3,74;1366,00
Namibia;5,38;1964,72
New Caledonia (Fr.);3,98;1452,38
Niger;4,84;1766,71
Nigeria;4,30;1569,73
Nicaragua;4,11;1500,63
Netherlands;2,86;1046,33
Norway;2,76;1008,53
Nepal;4,00;1459,54
Nauru;4,65;1698,78
New Zealand;3,68;1343,17
Oman;5,17;1887,72
Pakistan;4,71;1721,28
Panama;3,97;1448,40
Peru;4,90;1790,09
Philippines;3,93;1436,31
Palau;4,01;1462,83
Papua New Guinea;3,69;1348,47
Poland;2,98;1090,05
Puerto Rico (U.S.);4,40;1605,79
D. P. R. of Korea;3,92;1430,25
Portugal;4,32;1576,24
Paraguay;4,28;1563,78
West Bank and Gaza;4,93;1802,44
French Polynesia (Fr.);4,39;1604,95
Qatar;4,92;1796,08
Romania;3,52;1286,99
Russian Federation;3,36;1225,49
Rwanda;4,10;1498,29
Saudi Arabia;5,16;1884,25
Sudan;4,94;1805,50
Senegal;4,58;1674,12
Singapore;3,55;1297,11
Solomon Islands;3,69;1347,55
Sierra Leone;4,09;1492,48
El Salvador;4,83;1763,13
San Marino;3,76;1373,16
Somalia;4,76;1739,21
Serbia;3,52;1285,79
South Sudan;4,46;1627,88
São Tomé and Príncipe;3,47;1266,72
Suriname;4,27;1559,25
Slovakia;3,27;1192,72
Slovenia;3,43;1254,45
Sweden;2,84;1036,32
Eswatini;4,32;1577,37
Sint Maarten (Neth.);4,87;1778,15
Seychelles;4,35;1587,96
Syrian Arab Republic;4,85;1773,00
Turks and Caicos Islands (U.K.);4,72;1724,75
Chad;4,84;1766,86
Togo;4,12;1506,40
Thailand;4,06;1484,60
Tajikistan;4,34;1585,40
Turkmenistan;4,37;1595,34
Timor-Leste;4,34;1584,86
Tonga;4,01;1463,85
Trinidad and Tobago;4,35;1588,47
Tunisia;4,74;1732,93
Turkey;4,32;1579,05
Tuvalu;4,27;1558,45
Tanzania;4,51;1646,07
Uganda;4,46;1629,60
Ukraine;3,30;1203,94
Uruguay;4,30;1572,15
United States of America;4,36;1591,91
Uzbekistan;4,27;1559,18
Saint Vincent and the Grenadines;4,27;1560,64
R. B. de Venezuela;4,35;1590,48
British Virgin Islands (U.K.);4,85;1773,18
United States Virgin Islands (U.S.);4,75;1735,08
Vietnam;3,55;1298,24
Vanuatu;3,53;1289,52
Samoa;4,05;1480,32
Kosovo;3,70;1349,93
Republic of Yemen;5,21;1904,30
South Africa;5,00;1827,56
Zambia;4,83;1763,46
Zimbabwe;4,86;1775,52
