land;total energy production (PJ);total energy production (kwh)
Australia;5453;1,51473E+18
Austria;1394;3,87225E+17
Belgium;2325;6,45839E+17
Canada;12156;3,37669E+18
Chile;1656;4,60004E+17
Colombia;1775;4,9306E+17
Costa Rica;211;5,86116E+16
Czech Republic;1787;4,96393E+17
Denmark;678;1,88335E+17
Estonia;191;5,3056E+16
Finland;1391;3,86392E+17
France;9857;2,73808E+18
Germany;12055;3,34864E+18
Greece;851;2,36391E+17
Hungary;1150;3,19447E+17
Iceland;246;6,83339E+16
Ireland;576;1,60001E+17
Israel;954;2,65002E+17
Italy;6260;1,7389E+18
Japan;16731;4,64754E+18
Korea;12216;3,39336E+18
Latvia;187;5,19449E+16
Lithuania;324;9,00007E+16
Luxembourg;151;4,19448E+16
Mexico;7470;2,07502E+18
Netherlands;2979;8,27507E+17
New Zealand;829;2,3028E+17
Norway;1201;3,33614E+17
Poland;4522;1,25612E+18
Portugal;842;2,33891E+17
Slovak Republic;754;2,09446E+17
Slovenia;277;7,69451E+16
Spain;4836;1,34334E+18
Sweden;1998;5,55004E+17
Switzerland;954;2,65002E+17
Republic of Turkiye;6675;1,85418E+18
United Kingdom;6646;1,84613E+18
United States;89555;2,48766E+19
OECD Total;220114;6,11433E+19
Argentina;3356;9,3223E+17
Brazil;12519;3,47753E+18
People's Republic of China;156512;4,34759E+19
Egypt;4075;1,13195E+18
India;39529;1,09804E+19
Indonesia;9858;2,73836E+18
Kenya;1196;3,32225E+17
Morocco;954;2,65002E+17
Senegal;212;5,88894E+16
Singapore;1476;4,10003E+17
South Africa;5201;1,44473E+18
Thailand;5432;1,5089E+18
Ukraine;3692;1,02556E+18
Non-OECD Total;384667;1,06853E+20
Africa;35715;9,92091E+18
Non-OECD Americas;23265;6,46255E+18
Non-OECD Asia (including China);240647;6,68469E+19
Non-OECD Europe and Eurasia;51298;1,42496E+19
Middle East;33742;9,37285E+18
IEA Total;214807;5,96691E+19
IEA and Accession/Association countries;463391;1,28721E+20
